id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
139,Sarracenia leucophylla 'Helmut's Delight',Sarracenia,leucophylla,'Helmut's Delight',Klein Carnivors,See notes,Mar 2016,alive,,40-50cm large plants; prices in PDF invoice
141,Sarracenia leucophylla 'Large Pink Lip',Sarracenia,leucophylla,'Large Pink Lip',Klein Carnivors,See notes,Mar 2016,alive,,"Apalachicola, FL, Liberty Co, MK L 18"
142,Sarracenia flava var. flava 'Dahlia Bog',Sarracenia,flava,var. flava 'Dahlia Bog',Klein Carnivors,See notes,Mar 2016,alive,,MK F 05; from growlist
145,Sarracenia minor var. okefenokeensis 'Reading University Clone',Sarracenia,minor,var. okefenokeensis 'Reading University Clone',Klein Carnivors,24,Feb 2017,alive,,MK 2201; invoice #1911
146,Sarracenia psittacina var. okefenokeensis Clone 1,Sarracenia,psittacina,var. okefenokeensis Clone 1,Klein Carnivors,28,Feb 2017,lost,,MK 1211; invoice #1911
147,Sarracenia purpurea ssp. purpurea 'Veinless Plant',Sarracenia,purpurea,ssp. purpurea 'Veinless Plant',Klein Carnivors,28,Feb 2017,lost,,Invoice #1911
148,Sarracenia purpurea ssp. purpurea,Sarracenia,purpurea,ssp. purpurea,Klein Carnivors,15,Feb 2017,lost,,×2 plants (€30 total); invoice #1911
149,Sarracenia purpurea ssp. venosa var. pallidiflora,Sarracenia,purpurea ssp. venosa,var. pallidiflora,Klein Carnivors,16,Feb 2017,alive,,MK 1003; invoice #1911
150,"Sarracenia purpurea ssp. venosa (Reedy Creek, Caroline Co.)",Sarracenia,purpurea,"ssp. venosa (Reedy Creek, Caroline Co.)",Klein Carnivors,16,Feb 2017,lost,,MK 2029; invoice #1911
162,Sarracenia minor var. okefenokeensis 'Watchtower',Sarracenia,minor,var. okefenokeensis 'Watchtower',Klein Carnivors,38,Jan 2020,lost,,SMI_19; invoice #3559
163,Sarracenia minor var. okefenokeensis 'Red Eyes',Sarracenia,minor,var. okefenokeensis 'Red Eyes',Klein Carnivors,18,Jan 2020,alive,,SMI_23; invoice #3559
164,Sarracenia × alata 'Night' × leucophylla × alata Night,Sarracenia,× alata,'Night' × leucophylla × alata Night,Klein Carnivors,16,Jan 2020,alive,,SHY_37; invoice #3559
169,Sarracenia flava var. flava 'Goldie',Sarracenia,flava,var. flava 'Goldie',Luca Cappon,See notes,Feb 2019,alive,,From growlist
170,Sarracenia × 'Glider',Sarracenia,×,'Glider',Luca Cappon,See notes,Nov 2019,alive,,HF04; from growlist
171,Sarracenia × moorei 'Brook's Hybrid',Sarracenia,× moorei,'Brook's Hybrid',Luca Cappon,See notes,Nov 2019,given,,H7MK; from growlist
172,Sarracenia 'Orange Sunset',Sarracenia,,'Orange Sunset',Luca Cappon,See notes,Nov 2019,alive,,Vendor corrected via growlist (was listed as Unknown)
173,Sarracenia 'Kimber Red Ruffles',Sarracenia,,'Kimber Red Ruffles',Luca Cappon,See notes,Nov 2019,alive,,Vendor corrected via growlist (was listed as Unknown)
174,Sarracenia 'Hurricane Creek White' clone F,Sarracenia,,'Hurricane Creek White' clone F,Luca Gambini,159,,alive,,
176,Sarracenia × moorei 'Leah Wilkerson',Sarracenia,× moorei,'Leah Wilkerson',FreakyPlants (Marco),38,2017,alive,,Corrected: was listed as Dionaea; actually Sarracenia × moorei per growlist
177,Sarracenia 'Wilkerson's White Knight',Sarracenia,,'Wilkerson's White Knight',Davide Tavecchio,90,2016,alive,,
